City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atafu village,-8.5421,-172.5159,84.43,77,97,11.45,TK,1715121836
1,bilibino,68.0546,166.4372,29.43,86,95,2.55,RU,1715121803
2,margaret river,-33.95,115.0667,58.01,72,57,10.92,AU,1715121781
3,richards bay,-28.783,32.0377,69.13,74,0,10.87,ZA,1715121789
4,adamstown,-25.066,-130.1015,71.31,78,61,9.31,PN,1715121786
5,waitangi,-43.9535,-176.5597,51.82,72,20,4.0,NZ,1715121784
6,belgrade,44.804,20.4651,61.34,92,0,3.44,RS,1715121836
7,puerto natales,-51.7236,-72.4875,30.31,89,100,2.46,CL,1715121836
8,staritsa,56.5075,34.9354,34.57,77,61,7.58,RU,1715121836
9,mar del plata,-38.0023,-57.5575,63.09,99,100,10.36,AR,1715121663
10,blackmans bay,-43.0167,147.3167,51.73,93,100,6.98,AU,1715121801
11,utrik,11.2278,169.8474,81.81,76,100,19.19,MH,1715121837
12,edinburgh of the seven seas,-37.0676,-12.3116,61.11,86,100,45.3,SH,1715121837
13,camayenne,9.535,-13.6878,84.29,84,40,6.91,GN,1715121837
14,lompoc,34.6391,-120.4579,73.69,64,0,18.41,US,1715121837
15,korce,40.6186,20.7808,52.52,87,73,4.03,AL,1715121837
16,talnakh,69.4865,88.3972,5.2,95,90,5.84,RU,1715121837
17,phuthaditjhaba,-28.5242,28.8158,56.26,30,0,4.68,ZA,1715121837
18,cinisi,38.1562,13.1073,69.01,60,0,4.61,IT,1715121837
19,goundam,16.4145,-3.6708,90.01,39,10,8.66,ML,1715121838
20,happy valley-goose bay,53.3168,-60.3315,43.11,61,75,16.11,CA,1715121838
21,albany,42.6001,-73.9662,77.41,64,56,5.14,US,1715121739
22,punta arenas,-53.15,-70.9167,37.51,87,100,8.05,CL,1715121811
23,larvik,59.0533,10.0352,51.06,86,100,4.61,NO,1715121838
24,wailua homesteads,22.0669,-159.378,81.03,74,20,14.97,US,1715121786
25,krakow,50.0833,19.9167,54.82,75,75,14.97,PL,1715121838
26,port-aux-francais,-49.35,70.2167,40.77,75,15,34.45,TF,1715121778
27,san jose del guaviare,2.5729,-72.6459,77.61,95,89,1.28,CO,1715121838
28,hawaiian paradise park,19.5933,-154.9731,78.73,78,100,6.91,US,1715121838
29,cabo san lucas,22.8909,-109.9124,87.62,39,100,10.36,MX,1715121692
30,grytviken,-54.2811,-36.5092,28.31,78,27,9.22,GS,1715121780
31,papatowai,-46.5619,169.4708,44.28,96,99,15.39,NZ,1715121838
32,college,64.8569,-147.8028,52.12,53,75,1.01,US,1715121779
33,langzhong,31.5504,105.9938,71.82,75,100,1.01,CN,1715121839
34,anadyr,64.75,177.4833,19.9,67,75,8.95,RU,1715121787
35,road town,18.4167,-64.6167,75.24,94,40,3.44,VG,1715121839
36,lorengau,-2.0226,147.2712,81.45,88,100,14.38,PG,1715121839
37,jamestown,42.097,-79.2353,73.02,45,40,10.36,US,1715121651
38,invercargill,-46.4,168.35,47.01,96,100,4.0,NZ,1715121806
39,yellowknife,62.456,-114.3525,54.12,80,100,13.8,CA,1715121790
40,puerto ayora,-0.7393,-90.3518,84.16,94,80,1.01,EC,1715121839
41,port mathurin,-19.6833,63.4167,78.4,61,40,24.83,MU,1715121839
42,mandera,3.9366,41.867,82.24,69,100,11.65,KE,1715121839
